Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Senftle, T.P., Carter, E.A.","36683072000;7202462172;","Theoretical Determination of Band Edge Alignments at the Water-CuInS2(112) Semiconductor Interface",2017,"Langmuir","33","37",,"9479","9489",,5,"10.1021/acs.langmuir.7b00668","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85029715930&doi=10.1021%2facs.langmuir.7b00668&partnerID=40&md5=b405031572741626ba82af0933d88365",Article,"Final","",Scopus,2-s2.0-85029715930
"Lessio, M., Dieterich, J.M., Carter, E.A.","36717983600;35761168700;7202462172;","Hydride Transfer at the GaP(110)/Solution Interface: Mechanistic Implications for CO2 Reduction Catalyzed by Pyridine",2017,"Journal of Physical Chemistry C","121","32",,"17321","17331",,16,"10.1021/acs.jpcc.7b05052","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85027883054&doi=10.1021%2facs.jpcc.7b05052&partnerID=40&md5=c7ef5cc61a58bfa837a4e19791bc0dac",Article,"Final","",Scopus,2-s2.0-85027883054
"Zhuang, H.L., Chen, M., Carter, E.A.","42062742100;55786822500;7202462172;","Prediction and characterization of an Mg-Al intermetallic compound with potentially improved ductility via orbital-free and Kohn-Sham density functional theory",2017,"Modelling and Simulation in Materials Science and Engineering","25","7","075002","","",,9,"10.1088/1361-651X/aa7e0c","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85029845456&doi=10.1088%2f1361-651X%2faa7e0c&partnerID=40&md5=4fd751bfe7e585db26da336224496770",Article,"Final","",Scopus,2-s2.0-85029845456
"Vella, J.R., Chen, M., Fürstenberg, S., Stillinger, F.H., Carter, E.A., Debenedetti, P.G., Panagiotopoulos, A.Z.","56589675200;55786822500;57195487729;7005323740;7202462172;7005110339;7006335566;","Characterization of the liquid Li-solid Mo (1 1 0) interface from classical molecular dynamics for plasma-facing applications",2017,"Nuclear Fusion","57","11","116036","","",,7,"10.1088/1741-4326/aa7e0d","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85028436386&doi=10.1088%2f1741-4326%2faa7e0d&partnerID=40&md5=3a6c8722fa9ef212992eaaf0b17415c6",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85028436386
"Del Rio, B.G., Dieterich, J.M., Carter, E.A.","57191918743;35761168700;7202462172;","Globally-Optimized Local Pseudopotentials for (Orbital-Free) Density Functional Theory Simulations of Liquids and Solids",2017,"Journal of Chemical Theory and Computation","13","8",,"3684","3695",,12,"10.1021/acs.jctc.7b00565","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85027055045&doi=10.1021%2facs.jctc.7b00565&partnerID=40&md5=932228dd82f9a3ca2d7ef37847d57c0c",Article,"Final","",Scopus,2-s2.0-85027055045
"Tkalych, A.J., Zhuang, H.L., Carter, E.A.","55602301700;42062742100;7202462172;","A Density Functional + U Assessment of Oxygen Evolution Reaction Mechanisms on β-NiOOH",2017,"ACS Catalysis","7","8",,"5329","5339",,92,"10.1021/acscatal.7b00999","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85027264592&doi=10.1021%2facscatal.7b00999&partnerID=40&md5=e2d9ddaf19365d592512c59b9e30b5d2",Article,"Final","",Scopus,2-s2.0-85027264592
"Zhang, R., Bursi, L., Cox, J.D., Cui, Y., Krauter, C.M., Alabastri, A., Manjavacas, A., Calzolari, A., Corni, S., Molinari, E., Carter, E.A., García De Abajo, F.J., Zhang, H., Nordlander, P.","57194054504;56575141100;35184792500;56824785300;26031602400;35791000300;26534733200;7004913681;6601962180;7102949582;7202462172;7003877588;56979559000;7005155043;","How to Identify Plasmons from the Optical Response of Nanostructures",2017,"ACS Nano","11","7",,"7321","7335",,64,"10.1021/acsnano.7b03421","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85026217736&doi=10.1021%2facsnano.7b03421&partnerID=40&md5=d3d5ed49a3494fc50ece45528a56df80",Article,"Final","All Open Access, Bronze, Green",Scopus,2-s2.0-85026217736
"Yu, K., Krauter, C.M., Dieterich, J.M., Carter, E.A.","37029125000;26031602400;35761168700;7202462172;","Density and Potential Functional Embedding: Theory and Practice",2017,"Fragmentation: Toward Accurate Calculations on Complex Molecular Systems",,,,"81","117",,22,"10.1002/9781119129271.ch2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85045195468&doi=10.1002%2f9781119129271.ch2&partnerID=40&md5=4aa03b2e392082fe56594518ebb7e2e2",Book Chapter,"Final","",Scopus,2-s2.0-85045195468
"Das, A., Müller, T., Plasser, F., Krisiloff, D.B., Carter, E.A., Lischka, H.","55450741500;57198158904;28568073700;55220069200;7202462172;7004651091;","Local Electron Correlation Treatment in Extended Multireference Calculations: Effect of Acceptor-Donor Substituents on the Biradical Character of the Polycyclic Aromatic Hydrocarbon Heptazethrene",2017,"Journal of Chemical Theory and Computation","13","6",,"2612","2622",,10,"10.1021/acs.jctc.7b00156","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85020710693&doi=10.1021%2facs.jctc.7b00156&partnerID=40&md5=590e1654c2dec316f9c3a75b337275e4",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85020710693
"Martirez, J.M.P., Carter, E.A.","55536336600;7202462172;","Excited-State N2 Dissociation Pathway on Fe-Functionalized Au",2017,"Journal of the American Chemical Society","139","12",,"4390","4398",,69,"10.1021/jacs.6b12301","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85016390944&doi=10.1021%2fjacs.6b12301&partnerID=40&md5=aad29d6b9c0c43a836d0e7c4351cf2bd",Article,"Final","",Scopus,2-s2.0-85016390944
"Senftle, T.P., Carter, E.A.","36683072000;7202462172;","The holy grail: Chemistry enabling an economically viable CO2 capture, utilization, and storage strategy",2017,"Accounts of Chemical Research","50","3",,"472","475",,129,"10.1021/acs.accounts.6b00479","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85019644361&doi=10.1021%2facs.accounts.6b00479&partnerID=40&md5=329062e261bccbb34d2e4e173b95add6",Review,"Final","",Scopus,2-s2.0-85019644361
"Cheng, J., Yu, K., Libisch, F., Dieterich, J.M., Carter, E.A.","55550515700;37029125000;8937835800;35761168700;7202462172;","Potential Functional Embedding Theory at the Correlated Wave Function Level. 2. Error Sources and Performance Tests",2017,"Journal of Chemical Theory and Computation","13","3",,"1081","1093",,13,"10.1021/acs.jctc.6b01011","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85015234212&doi=10.1021%2facs.jctc.6b01011&partnerID=40&md5=94f37314d4a24b6b16b232f23b0d5460",Article,"Final","",Scopus,2-s2.0-85015234212
"Cheng, J., Libisch, F., Yu, K., Chen, M., Dieterich, J.M., Carter, E.A.","55550515700;8937835800;37029125000;55786822500;35761168700;7202462172;","Potential Functional Embedding Theory at the Correlated Wave Function Level. 1. Mixed Basis Set Embedding",2017,"Journal of Chemical Theory and Computation","13","3",,"1067","1080",,15,"10.1021/acs.jctc.6b01010","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85015149937&doi=10.1021%2facs.jctc.6b01010&partnerID=40&md5=4c0868d266af9ae89da5b40f288b1822",Article,"Final","",Scopus,2-s2.0-85015149937
"Vella, J.R., Chen, M., Stillinger, F.H., Carter, E.A., Debenedetti, P.G., Panagiotopoulos, A.Z.","56589675200;55786822500;7005323740;7202462172;7005110339;7006335566;","Structural and dynamic properties of liquid tin from a new modified embedded-atom method force field",2017,"Physical Review B","95","6","064202","","",,17,"10.1103/PhysRevB.95.064202","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85013046175&doi=10.1103%2fPhysRevB.95.064202&partnerID=40&md5=b09bc1b0eb296d20f0f189f60f88f0de",Article,"Final","All Open Access, Bronze, Green",Scopus,2-s2.0-85013046175
