Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Koo, H., Raman, V., Mueller, M.E., Geigle, K.P.","25823200600;7101864743;7402452551;8314309500;","Large-eddy simulation of a turbulent sooting flame in a swirling combustor",2015,"53rd AIAA Aerospace Sciences Meeting",,,"AIAA 2015-0167","","",12,7,"10.2514/6.2015-0167","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84980398210&doi=10.2514%2f6.2015-0167&partnerID=40&md5=8d55f0e3ca8b26f4861a68cb6820ef68",Conference Paper,"Final","",Scopus,2-s2.0-84980398210
"Kapaku, R.K., Rankin, B.A., Mueller, M.E., Lalit, H.U., Gore, J.P.","56737205800;55184755800;7402452551;56972615800;7202240966;","Quantitative experimental and model-based imaging of mid-infrared radiation from a turbulent luminous flame",2015,"53rd AIAA Aerospace Sciences Meeting",,,"AIAA 2015-1157","","",11,,"10.2514/6.2015-1157","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84980367775&doi=10.2514%2f6.2015-1157&partnerID=40&md5=d208be6fed13e4d76e9ef511fc190a4d",Conference Paper,"Final","",Scopus,2-s2.0-84980367775
"Attili, A., Bisetti, F., Mueller, M.E., Pitsch, H.","36597809400;8308282100;7402452551;7003265812;","Lagrangian analysis of mixing and soot transport in a turbulent jet flame",2015,"ERCOFTAC Series","20",,,"503","509",,2,"10.1007/978-3-319-14448-1_64","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84964906957&doi=10.1007%2f978-3-319-14448-1_64&partnerID=40&md5=344a3a8e661345a2712b202d68d6d3cb",Conference Paper,"Final","",Scopus,2-s2.0-84964906957
"Attili, A., Bisetti, F., Mueller, M.E., Pitsch, H.","36597809400;8308282100;7402452551;7003265812;","Damköhler number effects on soot formation and growth in turbulent nonpremixed flames",2015,"Proceedings of the Combustion Institute","35","2",,"1215","1223",,44,"10.1016/j.proci.2014.05.084","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84947543725&doi=10.1016%2fj.proci.2014.05.084&partnerID=40&md5=8ba61367bfd73ace0fd4879d349377bf",Article,"Final","",Scopus,2-s2.0-84947543725
"Deng, S., Koch, J.A., Mueller, M.E., Law, C.K.","57215603386;24341450300;7402452551;7201607381;","Sooting limits of nonpremixed n-heptane, n-butanol, and methyl butanoate flames: Experimental determination and mechanistic analysis",2014,"Fuel","136",,,"122","129",,12,"10.1016/j.fuel.2014.07.052","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84905820731&doi=10.1016%2fj.fuel.2014.07.052&partnerID=40&md5=968fce4bb0fa1cf0f62489095faacdec",Article,"Final","All Open Access, Bronze",Scopus,2-s2.0-84905820731
"Mueller, M.E., Raman, V.","7402452551;7101864743;","Effects of turbulent combustion modeling errors on soot evolution in a turbulent nonpremixed jet flame",2014,"Combustion and Flame","161","7",,"1842","1848",,25,"10.1016/j.combustflame.2013.12.020","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84901612822&doi=10.1016%2fj.combustflame.2013.12.020&partnerID=40&md5=53330c71e7afedc1e02b0a092c1fe5a8",Article,"Final","",Scopus,2-s2.0-84901612822
"Attili, A., Bisetti, F., Mueller, M.E., Pitsch, H.","36597809400;8308282100;7402452551;7003265812;","Formation, growth, and transport of soot in a three-dimensional turbulent non-premixed jet flame",2014,"Combustion and Flame","161","7",,"1849","1865",,118,"10.1016/j.combustflame.2014.01.008","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84901595590&doi=10.1016%2fj.combustflame.2014.01.008&partnerID=40&md5=03393a29ea18c1ce1d5b30195837a18a",Article,"Final","",Scopus,2-s2.0-84901595590
"Xuan, Y., Blanquart, G., Mueller, M.E.","55672374700;15055401300;7402452551;","Modeling curvature effects in diffusion flames using a laminar flamelet model",2014,"Combustion and Flame","161","5",,"1294","1309",,43,"10.1016/j.combustflame.2013.10.028","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84896319837&doi=10.1016%2fj.combustflame.2013.10.028&partnerID=40&md5=5f293afb9fb95a3bb194cfbd1d42fe96",Article,"Final","",Scopus,2-s2.0-84896319837
"Mueller, M.E., Pitsch, H.","7402452551;7003265812;","Large eddy simulation of soot evolution in an aircraft combustor",2013,"Physics of Fluids","25","11","110812","","",,63,"10.1063/1.4819347","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84888809990&doi=10.1063%2f1.4819347&partnerID=40&md5=6f564f814328683c86dca1c5bd0dd7bd",Article,"Final","",Scopus,2-s2.0-84888809990
"Mueller, M.E., Chan, Q.N., Qamar, N.H., Dally, B.B., Pitsch, H., Alwahabi, Z.T., Nathan, G.J.","7402452551;26040502900;8291091000;6701714697;7003265812;6602887973;56417418100;","Experimental and computational study of soot evolution in a turbulent nonpremixed bluff body ethylene flame",2013,"Combustion and Flame","160","7",,"1298","1309",,53,"10.1016/j.combustflame.2013.02.010","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84876722698&doi=10.1016%2fj.combustflame.2013.02.010&partnerID=40&md5=9395d2643c6712ae2d64baee5996579c",Article,"Final","",Scopus,2-s2.0-84876722698
