Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Law, C.K.","7201607381;","Combustion in microgravity: Opportunities, challenges, and progress",1990,"28th Aerospace Sciences Meeting, 1990",,,"AIAA-90-0120","","",,4,"10.2514/6.1990-120","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85003582770&doi=10.2514%2f6.1990-120&partnerID=40&md5=19988da65b66081eca7aa9a406255d22",Conference Paper,"Final","",Scopus,2-s2.0-85003582770
"Umemura, A., Law, C.K.","55290253100;7201607381;","Natural-convection boundary-layer flow over a heated plate with arbitrary inclination",1990,"Journal of Fluid Mechanics","219",,,"571","584",,27,"10.1017/S0022112090003081","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0025505718&doi=10.1017%2fS0022112090003081&partnerID=40&md5=46937d4b2b62284afc90756f87be624c",Article,"Final","",Scopus,2-s2.0-0025505718
"Egolfopoulos, F.N., Law, C.K.","7003309258;7201607381;","Chain mechanisms in the overall reaction orders in laminar flame propagation",1990,"Combustion and Flame","80","1",,"7","16",,203,"10.1016/0010-2180(90)90049-W","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0025420106&doi=10.1016%2f0010-2180%2890%2990049-W&partnerID=40&md5=17db934c2ab332e10317c1c60e79c985",Article,"Final","",Scopus,2-s2.0-0025420106
"Du, D.X., Law, C.K.","8390383000;7201607381;","Droplet extinction and combustibility ranking indices of chlorinated hydrocarbons",1990,"Hazardous Waste and Hazardous Materials","7","1",,"7","19",,3,"10.1089/hwm.1990.7.7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0025323096&doi=10.1089%2fhwm.1990.7.7&partnerID=40&md5=0ff927fd59135e8b1d0027be9fbeaf78",Article,"Final","",Scopus,2-s2.0-0025323096
"Law, C.K., Zhu, D.L., Li, T.X., Chung, S.H., Kim, J.S.","7201607381;7403599158;57216104346;7404293071;57865685200;","On the structure and extinction dynamics of partially-premixed flames: Theory and experiment",1989,"Combustion Science and Technology","64","4-6",,"199","232",,47,"10.1080/00102208908924031","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0000994160&doi=10.1080%2f00102208908924031&partnerID=40&md5=fcac934cc775211288ca0c4b2abb84f0",Article,"Final","",Scopus,2-s2.0-0000994160
"Sorbo, N.W., Law, C.K., Chang, D.P.Y., Steeper, R.R.","6507118579;7201607381;7403319383;7801618851;","An experimental investigation of the incineration and incinerability of chlorinated alkane droplets",1989,"Symposium (International) on Combustion","22","1",,"2019","2026",,17,"10.1016/S0082-0784(89)80217-6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-58149369919&doi=10.1016%2fS0082-0784%2889%2980217-6&partnerID=40&md5=699b97fe9a82b3a4ce0fe11e0c1065f7",Article,"Final","",Scopus,2-s2.0-58149369919
"Cho, P., Law, C.K., Cheng, R.K., Shepherd, I.G.","7102399992;7201607381;7201955322;7006459887;","Velocity and scalar fields of turbulent premixed flames in stagnation flow",1989,"Symposium (International) on Combustion","22","1",,"739","745",,48,"10.1016/S0082-0784(89)80082-7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-58149369646&doi=10.1016%2fS0082-0784%2889%2980082-7&partnerID=40&md5=8a04f2ea69a672416c7f21ecf6675891",Article,"Final","All Open Access, Green",Scopus,2-s2.0-58149369646
"Axelbaum, R.L., Law, C.K., Flower, W.L.","7004077915;7201607381;6603733117;","Preferential diffusion and concentration modification in sooting counterflow diffusion flames",1989,"Symposium (International) on Combustion","22","1",,"379","386",,11,"10.1016/S0082-0784(89)80044-X","https://www.scopus.com/inward/record.uri?eid=2-s2.0-58149367508&doi=10.1016%2fS0082-0784%2889%2980044-X&partnerID=40&md5=47f939b1d9ea6e82158f75343e779dc2",Article,"Final","",Scopus,2-s2.0-58149367508
"Law, C.K.","7201607381;","Dynamics of stretched flames",1989,"Symposium (International) on Combustion","22","1",,"1381","1402",,316,"10.1016/S0082-0784(89)80149-3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-58149367218&doi=10.1016%2fS0082-0784%2889%2980149-3&partnerID=40&md5=210ae47e342cb4df33a2dd40fc084579",Article,"Final","",Scopus,2-s2.0-58149367218
"Zhu, D.L., Egolfopoulos, F.N., Law, C.K.","7403599158;7003309258;7201607381;","Experimental and numerical determination of laminar flame speeds of methane/(Ar, N2, CO2)-air mixtures as function of stoichiometry, pressure, and flame temperature",1989,"Symposium (International) on Combustion","22","1",,"1537","1545",,108,"10.1016/S0082-0784(89)80164-X","https://www.scopus.com/inward/record.uri?eid=2-s2.0-58149366467&doi=10.1016%2fS0082-0784%2889%2980164-X&partnerID=40&md5=0b414cc224b57f978748ca10182d33eb",Article,"Final","",Scopus,2-s2.0-58149366467
