Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Balabajew, M., Balke, N., Bazant, M., Bennewitz, R., Brilliantov, N., De Wijn, A.S., Dey, R., Drummond, C., Dryfe, R., Girault, H., Hatzell, K., Hillman, R., Kornev, K., Kornyshev, A.A., Kratochvilova, I., Krupenkin, T., Lee, A., Mount, A., Mugele, F., Randriamahazaka, H., Robotham, O., Schatz, G., Schiffrin, D., Smela, E., Yaroshchuk, A.","50361030000;12789685700;6701815508;7003372467;7003803537;6603280720;57189336377;7102876508;7003652771;55204204100;55336668000;7102953731;7003448794;7005409098;6602470685;55946071000;55578168200;57224839579;57204157484;57204502431;56922147400;35498524400;7006322018;7004499176;7004591145;","Electroactuators: From understanding to micro-robotics and energy conversion: General discussion",2017,"Faraday Discussions","199",,,"525","545",,1,"10.1039/c7fd90031g","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85055830975&doi=10.1039%2fc7fd90031g&partnerID=40&md5=51bede035fd78eb444c863ac3664d852",Note,"Final","",Scopus,2-s2.0-85055830975
"Bazant, M., Bennewitz, R., Bocquet, L., Brilliantov, N., Dey, R., Drummond, C., Dryfe, R., Girault, H., Hatzell, K., Kornev, K., Kornyshev, A.A., Kratochvilova, I., Kucernak, A., Kulkarni, M., Kumar, S., Lee, A., Lemay, S., Medhi, H., Mount, A., Mugele, F., Perkin, S., Rutland, M., Schatz, G., Schiffrin, D., Smela, E., Smirnov, E., Urbakh, M., Yaroshchuk, A.","6701815508;7003372467;57203257616;7003803537;57189336377;7102876508;7003652771;55204204100;55336668000;7003448794;7005409098;6602470685;7006775399;57204164118;56595823600;55578168200;26643589400;36930775100;57224839579;57204157484;6507218261;7005208376;35498524400;7006322018;7004499176;56404183100;7006726441;7004591145;","Electrotunable wetting, and micro- and nanofluidics: General discussion",2017,"Faraday Discussions","199",,,"195","237",,2,"10.1039/C7FD90028G","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85054766030&doi=10.1039%2fC7FD90028G&partnerID=40&md5=e17d7fc5030a53ee41a19837eb1ddfcf",Note,"Final","",Scopus,2-s2.0-85054766030
"Dixit, M.B., Hatzell, K.B.","56401591400;55336668000;","Understanding binary interactions and aging effects in catalyst layer inks for controlled manufacturing",2017,"ECS Transactions","80","8",,"301","307",,5,"10.1149/08008.0301ecst","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85050034514&doi=10.1149%2f08008.0301ecst&partnerID=40&md5=5ad07043d70b4505f01770126d997c90",Conference Paper,"Final","",Scopus,2-s2.0-85050034514
"Hatzell, K.B., Dixit, M.B., Berlinger, S.A., Weber, A.Z.","55336668000;56401591400;35386262900;7403707400;","Understanding inks for porous-electrode formation",2017,"Journal of Materials Chemistry A","5","39",,"20527","20533",,64,"10.1039/c7ta07255d","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85031106023&doi=10.1039%2fc7ta07255d&partnerID=40&md5=a3c35764eba78774f2fff6ea74dd37cd",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85031106023
"Hatzell, K.B., Eller, J., Morelly, S.L., Tang, M.H., Alvarez, N.J., Gogotsi, Y.","55336668000;36668421400;57194900407;35206492000;8553533700;7007093973;","Direct observation of active material interactions in flowable electrodes using X-ray tomography",2017,"Faraday Discussions","199",,,"511","524",,43,"10.1039/c6fd00243a","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85024101774&doi=10.1039%2fc6fd00243a&partnerID=40&md5=e7611aa1414ee1311747bdc31f8bdb0d",Article,"Final","",Scopus,2-s2.0-85024101774
"Hatzell, K.B., Boota, M., Gogotsi, Y.","55336668000;55306171300;7007093973;","Materials for suspension (semi-solid) electrodes for energy and water technologies",2015,"Chemical Society Reviews","44","23",,"8664","8687",,120,"10.1039/c5cs00279f","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84947475287&doi=10.1039%2fc5cs00279f&partnerID=40&md5=01c9dcf4cac210715ff5f5676ae1b4bb",Review,"Final","All Open Access, Green",Scopus,2-s2.0-84947475287
"Ren, C.E., Hatzell, K.B., Alhabeb, M., Ling, Z., Mahmoud, K.A., Gogotsi, Y.","55885304100;55336668000;56728681700;36701654100;7006469822;7007093973;","Charge- and Size-Selective Ion Sieving Through Ti3C2Tx MXene Membranes",2015,"Journal of Physical Chemistry Letters","6","20",,"4026","4031",,609,"10.1021/acs.jpclett.5b01895","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84944402235&doi=10.1021%2facs.jpclett.5b01895&partnerID=40&md5=94bc963ee39984d890abbc11853be500",Article,"Final","All Open Access, Bronze",Scopus,2-s2.0-84944402235
"Boota, M., Hatzell, K.B., Alhabeb, M., Kumbur, E.C., Gogotsi, Y.","55306171300;55336668000;56728681700;14628933400;7007093973;","Graphene-containing flowable electrodes for capacitive energy storage",2015,"Carbon","92",,,"142","149",,93,"10.1016/j.carbon.2015.04.020","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84937401823&doi=10.1016%2fj.carbon.2015.04.020&partnerID=40&md5=93fc73a7a3f79f1fc93f30ef235c1007",Article,"Final","All Open Access, Bronze, Green",Scopus,2-s2.0-84937401823
"Hatzell, K.B., Hatzell, M.C., Cook, K.M., Boota, M., Housel, G.M., McBride, A., Kumbur, E.C., Gogotsi, Y.","55336668000;25632391700;56344047800;55306171300;56537016300;56536164500;14628933400;7007093973;","Effect of oxidation of carbon material on suspension electrodes for flow electrode capacitive deionization",2015,"Environmental Science and Technology","49","5",,"3040","3047",,157,"10.1021/es5055989","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84924080725&doi=10.1021%2fes5055989&partnerID=40&md5=86a829072b5d6c6ba8706debd2b739b4",Article,"Final","All Open Access, Green",Scopus,2-s2.0-84924080725
"Boota, M., Hatzell, K.B., Kumbur, E.C., Gogotsi, Y.","55306171300;55336668000;14628933400;7007093973;","Towards High-Energy-Density Pseudocapacitive Flowable Electrodes by the Incorporation of Hydroquinone",2015,"ChemSusChem","8","5",,"835","843",,76,"10.1002/cssc.201402985","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84929996231&doi=10.1002%2fcssc.201402985&partnerID=40&md5=dd31543268160e25ac62c18355495332",Article,"Final","All Open Access, Green",Scopus,2-s2.0-84929996231
