Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Glaser, A.","36758673100;","Unmaking the bomb: Verifying limits on the stockpiles of nuclear weapons",2017,"AIP Conference Proceedings","1898",,"020006","","",,1,"10.1063/1.5009211","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85036531752&doi=10.1063%2f1.5009211&partnerID=40&md5=7ced6db2e6115adc547bcb8b8ce9e266",Conference Paper,"Final","All Open Access, Bronze",Scopus,2-s2.0-85036531752
"De Troullioud De Lanversin, J., Glaser, A., Göttsche, M.","57196278817;36758673100;36683875600;","Toward an open-source neutronics code for circulating-fuel reactors",2017,"International Conference on Nuclear Engineering, Proceedings, ICONE","5",,,"","",,1,"10.1115/ICONE2566584","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85032514447&doi=10.1115%2fICONE2566584&partnerID=40&md5=f1d9bca4771cea57795921c89f6fc7d4",Conference Paper,"Final","",Scopus,2-s2.0-85032514447
"Göttsche, M., Schirm, J., Glaser, A.","36683875600;57191575290;36758673100;","Low-resolution gamma-ray spectrometry for an information barrier based on a multi-criteria template-matching approach",2016,"Nuclear Instruments and Methods in Physics Research, Section A: Accelerators, Spectrometers, Detectors and Associated Equipment","840",,,"139","144",,7,"10.1016/j.nima.2016.10.013","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84991712211&doi=10.1016%2fj.nima.2016.10.013&partnerID=40&md5=0f6a677037a404178a6e1c410e2342fc",Article,"Final","All Open Access, Bronze, Green",Scopus,2-s2.0-84991712211
"Schoeppner, M., Glaser, A.","55813975100;36758673100;","Present and future potential of krypton-85 for the detection of clandestine reprocessing plants for treaty verification",2016,"Journal of Environmental Radioactivity","162-163",,,"300","309",,10,"10.1016/j.jenvrad.2016.06.001","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84974604203&doi=10.1016%2fj.jenvrad.2016.06.001&partnerID=40&md5=181426330a408d2a62d66f06bc4a8894",Article,"Final","All Open Access, Green",Scopus,2-s2.0-84974604203
"Philippe, S., Goldston, R.J., Glaser, A., D'Errico, F.","56042977500;24426005400;36758673100;57217845906;","A physical zero-knowledge object-comparison system for nuclear warhead verification",2016,"Nature Communications","7",,"12890","","",,22,"10.1038/ncomms12890","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84988470752&doi=10.1038%2fncomms12890&partnerID=40&md5=4b6c2b3d3e391e43912f3adeff241e5a",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-84988470752
"Brown, A., Glaser, A.","57190009787;36758673100;","On the origins and significance of the limit demarcating low-enriched uranium from highly enriched uranium",2016,"Science and Global Security","24","2",,"131","137",,6,"10.1080/08929882.2016.1184533","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84976407550&doi=10.1080%2f08929882.2016.1184533&partnerID=40&md5=f1d899bad2013d1abfe2d3780bdc8007",Note,"Final","All Open Access, Green",Scopus,2-s2.0-84976407550
"Phillips, J.M., Adelfang, P., Gabrielse, G., Glaser, A., Johnson, D.W., Lemoine, P., Martin, W.R., Pynn, R., Tobey, W.H., Wilson, P.P.H., Podvig, P., Heimberg, J., Gros, D., Michael L. Corradini,, M.L., Greenleaf, T., Dynes, R.C., McNeil,, B.J., Brenner, D.J., Chu, M.S.Y., Jantzen, C.M., Illangasekare, T.H., Linet, M.S., Mettler, F.A., Nicholas, N.J., Stram, D.O., Yudintsev, S.V.","57216997821;6505988475;8427513200;36758673100;57195400622;57220064653;35240910400;7004741786;25959443300;8417608800;14523247600;6507938256;57195400363;57195400757;57195401074;7005881317;7102948976;57203030832;57195400570;57195400714;7007074182;7005032041;7005255629;7003797198;56785534100;7004631082;","Reducing the use of highly enriched uranium in civilian research reactors",2016,"Reducing the Use of Highly Enriched Uranium in Civilian Research Reactors",,,,"1","204",,7,"10.17226/21818","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85024107856&doi=10.17226%2f21818&partnerID=40&md5=5f34c2fad8b78e7af629088c2ac46dfc",Book,"Final","",Scopus,2-s2.0-85024107856
"Yan, J., Glaser, A.","57199790135;36758673100;","Nuclear warhead verification: A review of attribute and template systems",2015,"Science and Global Security","23","3",,"157","170",,24,"10.1080/08929882.2015.1087221","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84945127720&doi=10.1080%2f08929882.2015.1087221&partnerID=40&md5=b5343828abf8ee3f24b5aef955281364",Article,"Final","All Open Access, Green",Scopus,2-s2.0-84945127720
"Turnbull, D., Glaser, A., Goldston, R.J.","56311376000;36758673100;24426005400;","Investigating the value of fusion energy using the Global Change Assessment Model",2015,"Energy Economics","51",,,"346","353",,5,"10.1016/j.eneco.2015.08.001","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84940107432&doi=10.1016%2fj.eneco.2015.08.001&partnerID=40&md5=edf4725980ee783ed87793d31c6f5c5a",Article,"Final","All Open Access, Green",Scopus,2-s2.0-84940107432
"Glaser, A., Mian, Z., Von Hippel, F.","36758673100;6602624292;7003459139;","After the Iran deal: Multinational enrichment",2015,"Science","348","6241",,"1320","1322",,5,"10.1126/science.aac5989","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84933556361&doi=10.1126%2fscience.aac5989&partnerID=40&md5=1662aacd76005bfcc8e065201b3a566d",Short Survey,"Final","",Scopus,2-s2.0-84933556361
