Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Zhong, H., Yan, C., Teng, C.C., Ma, G., Wysocki, G., Ju, Y.","57207717798;57190674075;57194496409;16833498600;7006273708;7202809556;","Kinetic study of reaction C2H5+ HO2in a photolysis reactor with time-resolved Faraday rotation spectroscopy",2021,"Proceedings of the Combustion Institute","38","1",,"871","880",,3,"10.1016/j.proci.2020.07.095","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85096469053&doi=10.1016%2fj.proci.2020.07.095&partnerID=40&md5=bb8efe16def5aea2c32cac24d423c70a",Conference Paper,"Final","All Open Access, Bronze, Green",Scopus,2-s2.0-85096469053
"Zhao, H., Yan, C., Zhang, T., Ma, G., Souza, M.J., Zhou, C.-W., Ju, Y.","7404779947;57190674075;57192908858;16833498600;57204588347;15830437200;7202809556;","Studies of high-pressure n-butane oxidation with CO2dilution up to 100 atm using a supercritical-pressure jet-stirred reactor",2021,"Proceedings of the Combustion Institute","38","1",,"279","287",,10,"10.1016/j.proci.2020.08.047","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85092233739&doi=10.1016%2fj.proci.2020.08.047&partnerID=40&md5=3b76247a4907082ce14ea4d3bd57a3be",Conference Paper,"Final","All Open Access, Bronze, Green",Scopus,2-s2.0-85092233739
"Murakami, Y., Reuter, C.B., Yehia, O.R., Ju, Y.","57201914646;56703694200;57160132700;7202809556;","Studies of autoignition-assisted nonpremixed cool flames",2021,"Proceedings of the Combustion Institute","38","2",,"2333","2340",,3,"10.1016/j.proci.2020.06.379","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091956532&doi=10.1016%2fj.proci.2020.06.379&partnerID=40&md5=9f9c392cf631177b1049402fa036e7d0",Article,"Final","All Open Access, Bronze",Scopus,2-s2.0-85091956532
"Chen, T.Y., Taneja, T.S., Rousso, A.C., Yang, S., Kolemen, E., Ju, Y.","57202684452;57211453194;57194311892;56911262500;9278048500;7202809556;","Time-resolved in situ measurements an d methane reforming in a nanosecond-pulsed discharge",2021,"Proceedings of the Combustion Institute","38","4",,"6533","6540",,6,"10.1016/j.proci.2020.06.100","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091880885&doi=10.1016%2fj.proci.2020.06.100&partnerID=40&md5=3b352614c26eab384ba85d29879b5eb8",Conference Paper,"Final","All Open Access, Bronze, Green",Scopus,2-s2.0-85091880885
"Yan, C., Yang, X., Zhao, H., Zhong, H., Ma, G., Qi, Y., Koel, B.E., Ju, Y.","57190674075;57205924596;7404779947;57207717798;16833498600;35222140500;35556864000;7202809556;","Controlled Dy-doping to nickel-rich cathode materials in high temperature aerosol synthesis",2021,"Proceedings of the Combustion Institute","38","4",,"6623","6630",,7,"10.1016/j.proci.2020.06.332","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091880460&doi=10.1016%2fj.proci.2020.06.332&partnerID=40&md5=cf641bff36cefb66ff2f9075e1587d0d",Conference Paper,"Final","All Open Access, Bronze, Green",Scopus,2-s2.0-85091880460
"Zhong, H., Mao, X., Rousso, A.C., Patrick, C.L., Yan, C., Xu, W., Chen, Q., Wysocki, G., Ju, Y.","57207717798;56902122500;57194311892;57194461501;57190674075;57218855154;36543564000;7006273708;7202809556;","Kinetic study of plasma-assisted n-dodecane/O2/N2 pyrolysis and oxidation in a nanosecond-pulsed discharge",2021,"Proceedings of the Combustion Institute","38","4",,"6521","6531",,19,"10.1016/j.proci.2020.06.016","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090448158&doi=10.1016%2fj.proci.2020.06.016&partnerID=40&md5=21569927e80731fe780bf203fbbc1e71",Conference Paper,"Final","All Open Access, Bronze, Green",Scopus,2-s2.0-85090448158
"Zhang, T., Susa, A.J., Hanson, R.K., Ju, Y.","57192908858;57202468543;35553712400;7202809556;","Studies of the dynamics of autoignition assisted outwardly propagating spherical cool and double flames under shock-tube conditions",2021,"Proceedings of the Combustion Institute","38","2",,"2275","2283",,9,"10.1016/j.proci.2020.06.089","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089517931&doi=10.1016%2fj.proci.2020.06.089&partnerID=40&md5=a61e4468089f6069f504611817f6361a",Article,"Final","All Open Access, Bronze",Scopus,2-s2.0-85089517931
"Zhou, M., Yehia, O.R., Reuter, C.B., Burger, C.M., Murakami, Y., Zhao, H., Ju, Y.","57191708605;57160132700;56703694200;57218270754;57201914646;7404779947;7202809556;","Kinetic effects of NO addition on n-dodecane cool and warm diffusion flames",2021,"Proceedings of the Combustion Institute","38","2",,"2351","2360",,7,"10.1016/j.proci.2020.06.002","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088508481&doi=10.1016%2fj.proci.2020.06.002&partnerID=40&md5=f7e85bcc083f417a4608a0e96764fedc",Article,"Final","",Scopus,2-s2.0-85088508481
"Rousso, A.C., Jasper, A.W., Ju, Y., Hansen, N.","57194311892;7003460943;7202809556;56575379300;","Extreme Low-Temperature Combustion Chemistry: Ozone-Initiated Oxidation of Methyl Hexanoate",2020,"Journal of Physical Chemistry A","124","48",,"9897","9914",,8,"10.1021/acs.jpca.0c07584","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85096547201&doi=10.1021%2facs.jpca.0c07584&partnerID=40&md5=dee50d6857267ebdcc95b7efc49fb27e",Article,"Final","All Open Access, Bronze",Scopus,2-s2.0-85096547201
"Rousso, A.C., Goldberg, B.M., Chen, T.Y., Wu, S., Dogariu, A., Miles, R.B., Kolemen, E., Ju, Y.","57194311892;56730033800;57202684452;36678507000;57202642695;7201461116;9278048500;7202809556;","Time and space resolved diagnostics for plasma thermal-chemical instability of fuel oxidation in nanosecond plasma discharges",2020,"Plasma Sources Science and Technology","29","10","105012","","",,17,"10.1088/1361-6595/abb7be","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85095964686&doi=10.1088%2f1361-6595%2fabb7be&partnerID=40&md5=5b7af98e1e11d3b4069778081f9d25dc",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85095964686
