Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Zajdel, T.J., Shim, G., Wang, L., Rossello-Martinez, A., Cohen, D.J.","54965406900;57211364832;57212152439;57217181378;55453565000;","SCHEEPDOG: Programming Electric Cues to Dynamically Herd Large-Scale Cell Migration",2020,"Cell Systems","10","6",,"506","514.e3",,26,"10.1016/j.cels.2020.05.009","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086659241&doi=10.1016%2fj.cels.2020.05.009&partnerID=40&md5=90ad004e67cd5f1ee8caec0afb26e58c",Article,"Final","All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85086659241
"Bisaria, A., Hayer, A., Garbett, D., Cohen, D., Meyer, T.","53363303800;8546094600;8889746100;55453565000;7403382771;","Membrane-proximal F-actin restricts local membrane protrusions and directs cell migration",2020,"Science","368","6496",,"1205","1210",,57,"10.1126/science.aay7794","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086424857&doi=10.1126%2fscience.aay7794&partnerID=40&md5=91d855f7323cb1a44c1c8a5a6dda3061",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85086424857
"Cohen, D.J., Nelson, W.J.","55453565000;7401693814;","Secret handshakes: cell–cell interactions and cellular mimics",2018,"Current Opinion in Cell Biology","50",,,"14","19",,8,"10.1016/j.ceb.2018.01.001","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85042914497&doi=10.1016%2fj.ceb.2018.01.001&partnerID=40&md5=1271280ff6face6981e396eb8cb5867d",Review,"Final","All Open Access, Green",Scopus,2-s2.0-85042914497
"Cohen, D.J.","55453565000;","Sorting Things Out: Cell Sorting during Hydra Regeneration",2017,"Biophysical Journal","113","12",,"2577","2578",,,"10.1016/j.bpj.2017.11.007","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85038376555&doi=10.1016%2fj.bpj.2017.11.007&partnerID=40&md5=7fafa9ddae25722efef7b28ab20a0929",Short Survey,"Final","All Open Access, Bronze, Green",Scopus,2-s2.0-85038376555
"Gloerich, M., Bianchini, J.M., Siemers, K.A., Cohen, D.J., Nelson, W.J.","25958650300;57039738600;6506365444;55453565000;7401693814;","Cell division orientation is coupled to cell-cell adhesion by the E-cadherin/LGN complex",2017,"Nature Communications","8",,"13996","","",,89,"10.1038/ncomms13996","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85008395778&doi=10.1038%2fncomms13996&partnerID=40&md5=0904b4eb96d73896560a8be06d3fcb17",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85008395778
"Cohen, D.J., Gloerich, M., Nelson, W.J.","55453565000;25958650300;7401693814;","Epithelial self-healing is recapitulated by a 3D biomimetic E-cadherin junction",2016,"Proceedings of the National Academy of Sciences of the United States of America","113","51",,"14698","14703",,27,"10.1073/pnas.1612208113","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85006377252&doi=10.1073%2fpnas.1612208113&partnerID=40&md5=8bbace7c2118506941fdd61f83b659ca",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85006377252
"Murali, P., Izyumin, I., Prabhu, S., Cohen, D., Boser, B.","6507589480;36116742700;56058639700;55453565000;7006604685;","A magnetic flow cytometer with integrated microfluidics",2014,"Technical Digest - Solid-State Sensors, Actuators, and Microsystems Workshop",,,,"159","162",,1,"10.31438/trf.hh2014.44","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84920520030&doi=10.31438%2ftrf.hh2014.44&partnerID=40&md5=f497301e780d1a2a7aaf1fc86b7f75dc",Conference Paper,"Final","All Open Access, Bronze",Scopus,2-s2.0-84920520030
"Cohen, D.J., Nelson, W.J., Maharbiz, M.M.","55453565000;7401693814;6506828902;","Erratum: Galvanotactic control of collective cell migration in epithelial monolayers (Nature Materials (2014) 13 (409-417))",2014,"Nature Materials","13","5",,"530","",,,"10.1038/nmat3948","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84899068415&doi=10.1038%2fnmat3948&partnerID=40&md5=308773ad864b86f83c2a2a2bbcf437b6",Erratum,"Final","All Open Access, Bronze",Scopus,2-s2.0-84899068415
"Murali, P., Izyumin, I., Cohen, D., Chien, J.-C., Niknejad, A.M., Boser, B.","6507589480;36116742700;55453565000;8951989800;56505644700;7006604685;","A CMOS micro-flow cytometer for magnetic label detection and classification",2014,"Digest of Technical Papers - IEEE International Solid-State Circuits Conference","57",,"6757497","422","423",,13,"10.1109/ISSCC.2014.6757497","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84898064029&doi=10.1109%2fISSCC.2014.6757497&partnerID=40&md5=96c84673dce8fe387b6dd55126ec979f",Conference Paper,"Final","",Scopus,2-s2.0-84898064029
"Cohen, D.J., Nelson, W.J., Maharbiz, M.M.","55453565000;7401693814;6506828902;","Galvanotactic control of collective cell migration in epithelial monolayers",2014,"Nature Materials","13","4",,"409","417",,109,"10.1038/nmat3891","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84896657908&doi=10.1038%2fnmat3891&partnerID=40&md5=f3a53dab82b5c77d8233c8a5f19a042d",Article,"Final","",Scopus,2-s2.0-84896657908
"Jadhav, A.D., Aimo, I., Cohen, D., Ledochowitsch, P., Maharbiz, M.M.","36911346600;55822128300;55453565000;24175560900;6506828902;","Cyborg eyes: Microfabricated neural interfaces implanted during the development of insect sensory organs produce stable neurorecordings in the adult",2012,"Proceedings of the IEEE International Conference on Micro Electro Mechanical Systems (MEMS)",,,"6170340","937","940",,8,"10.1109/MEMSYS.2012.6170340","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84860479860&doi=10.1109%2fMEMSYS.2012.6170340&partnerID=40&md5=58965f9c9c99c896b44e313ae5431c06",Conference Paper,"Final","",Scopus,2-s2.0-84860479860
"Cohen, D.J., Mitra, D., Peterson, K., Maharbiz, M.M.","55453565000;57212720287;35362914500;6506828902;","A highly elastic, capacitive strain gauge based on percolating nanotube networks",2012,"Nano Letters","12","4",,"1821","1825",,412,"10.1021/nl204052z","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84859707215&doi=10.1021%2fnl204052z&partnerID=40&md5=d1d8cc3254dd0acdedbfb250d3142d0e",Article,"Final","",Scopus,2-s2.0-84859707215
"Libby, T., Moore, T.Y., Chang-Siu, E., Li, D., Cohen, D.J., Jusufi, A., Full, R.J.","36698067400;56645540700;36159316100;54881162200;55453565000;24067050100;7003993278;","Tail-assisted pitch control in lizards, robots and dinosaurs",2012,"Nature","481","7380",,"181","186",,222,"10.1038/nature10710","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84855800416&doi=10.1038%2fnature10710&partnerID=40&md5=7709fd5db36d0b24aa8506b5add00910",Article,"Final","",Scopus,2-s2.0-84855800416
"Chen, J., Bly, R.A., Saad, M.M., Alkhodary, M.A., El-Backly, R.M., Cohen, D.J., Kattamis, N., Fatta, M.M., Moore, W.A., Arnold, C.B., Marei, M.K., Soboyejo, W.O.","57196106161;14719027300;57190842232;57208907735;25224802400;55453565000;22940750700;37070652400;14719727800;7203014096;6603958364;35565458000;","In-vivo study of adhesion and bone growth around implanted laser groove/RGD-functionalized Ti-6Al-4V pins in rabbit femurs",2011,"Materials Science and Engineering C","31","5",,"826","832",,25,"10.1016/j.msec.2010.12.019","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79956067849&doi=10.1016%2fj.msec.2010.12.019&partnerID=40&md5=1217cf7153dd3d2b8eea1a113e6cc79c",Article,"Final","All Open Access, Bronze",Scopus,2-s2.0-79956067849
"Sato, H., Cohen, D., Maharbiz, M.M.","7410400905;55453565000;6506828902;","Building Interfaces to Developing Cells and Organisms: From Cyborg Beetles to Synthetic Biology",2011,"CMOS Biomicrosystems: Where Electronics Meet Biology",,,,"325","354",,2,"10.1002/9781118016497.ch12","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84886711328&doi=10.1002%2f9781118016497.ch12&partnerID=40&md5=4ed546b3503ac23d3cb422cd72b138b7",Book Chapter,"Final","",Scopus,2-s2.0-84886711328
"Marei, M.K., Saad, M.M., El-Backly, R.M., Alkhodary, M.A., Bly, R.A., Cohen, D.J., Chen, J., Fata, M.M., Soboyejo, W.O., Nageeb, M., Rashad, A., Ahmed, D.K., Abd El-Aty, R.H.","6603958364;57190842232;25224802400;57208907735;14719027300;55453565000;22950166700;13610581200;35565458000;56661649600;8618036700;55212854300;55212267100;","Bone engineering around laser grooved/RGD -coated titanium surfaces",2010,"European Cells and Materials","19","SUPPL.1",,"37","",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84860825737&partnerID=40&md5=b9c6dc175f1df962289714e56c80f52d",Conference Paper,"Final","",Scopus,2-s2.0-84860825737
"Cohen, D.J., Morfino, R.C., Maharbiz, M.M.","55453565000;35068426600;6506828902;","A modified consumer inkjet for spatiotemporal control of gene expression",2009,"PLoS ONE","4","9","e7086","","",,24,"10.1371/journal.pone.0007086","https://www.scopus.com/inward/record.uri?eid=2-s2.0-70349436997&doi=10.1371%2fjournal.pone.0007086&partnerID=40&md5=83dbebd43ca439e68720342cc55a47c6",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-70349436997
